編號,單字,中文解釋
316,safe,安全的
317,salad,沙拉
318,salty,鹹的
319,same,相同的、一樣的
320,school bag,書包
321,season,季節
322,shape,形狀
323,share,分享
324,sheep,綿羊
325,ship,船
326,shirt,襯衫
327,shoe(s),鞋子
328,shop,商店
329,shopkeeper,店主
330,shoulder,肩膀
331,shy,害羞的
332,slow,慢的
333,smile,微笑
334,smoke,吸煙、煙
335,snake,蛇
336,snowy,下雪的
337,sock(s),短襪
338,song,歌曲
339,sound,聲響、聽起來
340,south,南方、南方的、南部的
341,speak,說話
342,spoon,湯匙
343,spring,春天
344,story,故事
345,stranger,陌生人
346,street,街道
347,successful,成功的
348,sugar,糖
349,summer,夏天
350,supermarket,超級市場
351,surprise,驚訝、驚喜
352,sweater,毛衣
353,swim,游泳
354,Taiwan,台灣
355,taxi,計程車
356,Teacher's Day,教師節
357,telephone,電話
358,television,電視
359,Thanksgiving,感恩節
360,thirsty,口渴的
361,thousand,千
362,tomorrow,明天
363,traffic,交通
364,train station,火車站
365,truck,貨車
366,typhoon,颱風
367,ten,十
368,three,三
369,Thursday,星期四
370,tiger,老虎
371,tired,疲倦的
372,today,今天
373,train,火車
374,tree,樹
375,Tuesday,星期二
376,twelve,十二
377,two,二
378,umbrella,雨傘
379,uniform,制服
380,vacation,假期
381,vegetable,蔬菜
382,walk,走路
383,want,想要、需要
384,wash,清洗
385,watch,看、手錶
386,water,水
387,weather,天氣
388,Wednesday,星期三
389,week,星期（週）
390,weekend,週末
391,what,什麼
392,white,白色
393,window,窗戶
394,windy,多風的、有風的、風大的
395,winter,冬天
396,write,寫
397,yellow,黃色
398,yesterday,昨天
399,young,年輕
400,zebra,斑馬
